n,asunto,primera_linea
1,Reenvío: cotización 8842 — cliente pregunta si sigue vigente,El cliente escribió pidiendo confirmación del precio de la semana pasada.
2,Aprobación requerida: cotización 9011 por 4.320 USD,Supera el umbral y queda esperando visto bueno de jefatura.
3,Recordatorio: cierre de caja de agosto pendiente en dos sucursales,Faltan Quetzaltenango y Soyapango para poder cerrar el mes.
4,Consulta de garantía — batería de moto con 8 meses,El cliente insiste en que le corresponde reemplazo completo.
5,Invitación: capacitación de producto nueva línea solar,"Sesión regional el jueves, confirmar asistencia."
6,Factura 77120 rechazada por el portal del cliente,El portal indica que falta la orden de compra referenciada.
7,Pedido 44821 — proveedor responde sobre las premium,"Adjuntan nueva fecha estimada, sin confirmar cantidad."
8,Newsletter mensual del gremio de importadores,"Boletín informativo del sector, sin acción requerida."
9,Solicitud de vacaciones — analista de cartera,"Pide del 15 al 26 de septiembre, coincide con el cierre."
10,Actualización de procedimiento PR-ADM-014 — falta tu revisión,El dueño de proceso espera comentarios para cerrar la versión.
11,Cliente de flota pide condiciones de crédito a 60 días,Actualmente tiene 30 y solicita ampliación.
12,Error en el reporte de ventas: una sucursal aparece dos veces,El consolidado de mayo muestra Mixco duplicado.
13,Confirmación de reunión — comité de operaciones del 17,Solo pide confirmar disponibilidad.
14,Reclamo: instalación a domicilio llegó fuera de la ventana,El cliente esperó tres horas más de lo acordado.
15,Consulta interna: ¿qué anexo aplica para descuentos por volumen?,Un asistente no encuentra el anexo referenciado en el procedimiento.
16,Promoción de un proveedor de uniformes,Correo comercial no solicitado.
17,Alerta del sistema: cotización 8842 vencida sin respuesta,"Notificación automática, ya no requiere acción."
18,Pregunta de gerencia: ¿por qué subieron las devoluciones en Guatemala?,Pide una explicación para el reporte del semestre.
19,Recordatorio de pago — cliente con 45 días de mora,Cartera solicita gestionar el cobro esta semana.
20,Acta de la capacitación de seguridad de agosto,"Se archiva, no requiere respuesta."
