fecha,pais,sucursal,linea_producto,unidades,ingreso_usd,devoluciones,dias_credito,canal
2026-01-15,Panamá,Vía España,Bateria Auto,28,2774.22,0,60,Sucursal
2026-01-15,Panamá,Vía España,Batería Moto,29,1344.23,0,60,Domicilio
2026-01-15,Panamá,Vía España,Servicio a Domicilio,8,505.93,0,45,WhatsApp
2026-01-15,Panamá,Vía España,Respaldo de Energía,2,677.46,0,15,Domicilio
2026-01-15,Panamá,Tocumen,Batería Auto,39,3466.59,0,0,Domicilio
2026-01-15,Panamá,Tocumen,Batería Moto,27,1299.34,0,0,Sucursal
2026-01-15,Panamá,Tocumen,Servicio a Domicilio,8,"550.60",0,0,WhatsApp
2026-01-15,Panamá,Tocumen,Respaldo de Energía,1,322.01,0,30,Domicilio
2026-01-15,Panamá,Tocumen,Energía Solar,1,1409.73,0,30,WhatsApp
2026-01-15,Panamá,Tocumen,Batería Industrial,1,523.44,0,15,Call center
2026-01-15,PANAMÁ,David,Batería Auto,34,3033.37,1,30,WhatsApp
2026-01-15,Panamá,David,Respaldo de Energía,1,341.46,0,30,Sucursal
2026-01-15,Panamá,David,Energía Solar,1,1483.10,0,0,Sucursal
2026-01-15,Panamá,David,Batería Industrial,1,492.69,0,30,Sucursal
2026-01-15,Costa Rica,San José Centro,Batería Auto,32,2966.48,0,60,WhatsApp
2026-01-15,Costa Rica,San José Centro,Batería Moto,25,1281.13,0,30,Call center
2026-01-15,Costa Rica,San José Centro,Servicio a Domicilio,8,494.91,0,60,Call center
2026-01-15,Costa Rica,San José Centro,Respaldo de Energía,1,349.87,0,0,Sucursal
15/01/2026,Costa Rica,San José Centro,Energía Solar,1,1512.53,0,0,Call center
2026-01-15,Costa Rica,San José Centro,Batería Industrial,1,486.24,0,45,Domicilio
2026-01-15,Costa Rica,Alajuela,Batería Auto,32,2766.16,0,60,WhatsApp
2026-01-15,Costa Rica,Alajuela,Batería Moto,19,895.96,0,0,Domicilio
2026-01-15,Costa Rica,Alajuela,Servicio a Domicilio,10,700.39,0,0,Sucursal
2026-01-15,Costa Rica,Alajuela,Respaldo de Energía,2,682.68,0,30,Domicilio
2026-01-15,Costa Rica,Alajuela,Energía Solar,1,1531.85,0,30,WhatsApp
2026-01-15,Costa Rica,Alajuela,Batería Industrial,1,551.17,0,0,WhatsApp
2026-01-15,Costa Rica,Heredia,Batería Auto,27,2409.93,0,0,Call center
2026-01-15,Costa Rica,Heredia,Batería Moto,24,1094.43,0,30,WhatsApp
2026-01-15,Costa Rica,Heredia,Servicio a Domicilio,11,761.88,0,30,Call center
2026-01-15,Costa Rica,Heredia,Respaldo de Energía,1,333.23,0,0,Call center
2026-01-15,Costa Rica,Heredia,Energía Solar,1,1416.18,0,30,Sucursal
2026-01-15,Costa Rica,Heredia,Batería Industrial,1,506.54,0,0,Domicilio
2026-01-15,El Salvador,San Salvador Norte,Batería Auto,34,3296.86,0,0,WhatsApp
2026-01-15,El Salvador,San Salvador Norte,Batería Moto,27,1212.87,0,60,Call center
15/01/2026,El Salvador,San Salvador Norte,Servicio a Domicilio,12,799.96,0,0,Sucursal
2026-01-15,El Salvador,San Salvador Norte,Respaldo de Energía,1,362.10,,30,WhatsApp
2026-01-15,El Salvador,San Salvador Norte,Energía Solar,1,1396.30,0,0,Domicilio
2026-01-15,El Salvador,Santa Ana,Batería Auto,43,"3,949.21",1,0,Call center
2026-01-15,El Salvador,Santa Ana,Batería Moto,25,1198.25,0,0,Sucursal
2026-01-15,El Salvador,Santa Ana,Servicio a Domicilio,9,592.04,0,0,Sucursal
2026-01-15,El Salvador,Santa Ana,Respaldo de Energía,1,336.33,0,15,Sucursal
2026-01-15,El Salvador,Santa Ana,Batería Industrial,1,483.81,0,0,Domicilio
2026-01-15,El Salvador,Soyapango,Batería Auto,32,2897.41,0,0,Sucursal
2026-01-15,El Salvador,Soyapango,Batería Moto,24,1162.74,0,0,Domicilio
2026-01-15,El Salvador,Soyapango,Servicio a Domicilio,12,779.37,0,0,Sucursal
2026-01-15,El Salvador,Soyapango,Respaldo de Energía,1,336.72,0,60,WhatsApp
2026-01-15,El Salvador,Soyapango,Energía Solar,1,1370.27,0,30,Domicilio
2026-01-15,El Salvador,Soyapango,Batería Industrial,1,521.45,0,30,Sucursal
2026-01-15,Guatemala,Zona 4,Batería Auto,40,3878.53,2,30,Call center
2026-01-15,Guatemala,Zona 4,Batería Moto,22,1102.04,1,45,Call center
2026-01-15,Guatemala,Zona 4,Servicio a Domicilio,8,503.41,0,60,Call center
2026-01-15,Guatemala,Zona 4,Respaldo de Energía,1,347.63,0,60,Domicilio
2026-01-15,Guatemala,Zona 4,Energía Solar,1,1370.45,0,60,Call center
2026-01-15,Guatemala,Zona 4,Batería Industrial,1,540.93,0,15,Call center
2026-01-15,Guatemala,Mixco,Batería Auto,38,3434.81,2,30,Sucursal
2026-01-15,Guatemala,Mixco,Servicio a Domicilio,11,722.82,0,60,Sucursal
2026-01-15,Guatemala,Mixco,Respaldo de Energía,1,335.26,0,30,WhatsApp
2026-01-15,Guatemala,Mixco,Energía Solar,1,1562.03,0,15,Call center
2026-01-15,Guatemala,Quetzaltenango,Batería Auto,37,3642.88,1,45,Call center
2026-01-15,Guatemala,Quetzaltenango,Batería Moto,19,952.70,0,0,Sucursal
2026-01-15,Guatemala,Quetzaltenango,Servicio a Domicilio,10,614.29,0,30,Call center
2026-01-15,Guatemala,Quetzaltenango,Energía Solar,1,1530.41,0,0,Sucursal
2026-01-15,Guatemala,Quetzaltenango,Batería Industrial,1,485.38,0,15,Call center
2026-02-15,Panamá,Vía España,Servicio a Domicilio,12,797.45,0,0,WhatsApp
15/02/2026,Panamá,Vía España,Energía Solar,1,1451.65,0,45,Sucursal
2026-02-15,PANAMÁ,Vía España,Batería Industrial,1,522.01,0,0,Sucursal
2026-02-15,Panamá,Tocumen,Batería Auto,35,3307.36,0,45,Domicilio
2026-02-15, Panamá,Tocumen,Servicio a Domicilio,8,550.13,0,30,Domicilio
2026-02-15,Panamá,Tocumen,Respaldo de Energía,1,316.42,0,45,Domicilio
2026-02-15,Panamá,Tocumen,Energía Solar,1,1489.41,0,0,Domicilio
15/02/2026,Panamá,Tocumen,Batería Industrial,1,519.77,0,30,Call center
2026-02-15,Panamá,David,Batería Auto,40,3961.60,0,0,WhatsApp
2026-02-15,Panamá,David,Batería Moto,28,1350.59,0,30,Sucursal
2026-02-15,Panamá,David,Servicio a Domicilio,10,625.24,0,45,Sucursal
2026-02-15,Panamá,David,Respaldo de Energía,1,355.69,0,60,WhatsApp
2026-02-15,Panamá,David,Energía Solar,1,1359.99,0,0,WhatsApp
2026-02-15,Panamá,David,Batería Industrial,1,504.25,0,60,WhatsApp
2026-02-15,Costa Rica,San José Centro,Batería Auto,28,2463.50,0,45,WhatsApp
2026-02-15,Costa Rica,San José Centro,Batería Moto,21,999.84,0,0,Call center
2026-02-15,Costa Rica,San José Centro,Servicio a Domicilio,12,735.58,0,60,WhatsApp
15/02/2026,Costa Rica,San José Centro,Batería Industrial,1,513.94,,15,Call center
2026-02-15,Costa Rica,Alajuela,bateria auto,32,2847.91,0,0,Domicilio
2026-02-15,Costa Rica,Alajuela,Batería Moto,28,1418.54,0,0,Domicilio
2026-02-15,Costa Rica,Alajuela,Respaldo de Energía,1,318.77,0,30,Domicilio
2026-02-15,Costa Rica,Alajuela,Energía Solar,1,1536.77,0,0,Domicilio
2026-02-15,Costa Rica,Heredia,Batería Auto,34,3116.75,0,0,Domicilio
2026-02-15,Costa Rica,Heredia,Batería Moto,30,1513.90,0,0,Sucursal
2026-02-15,Costa Rica,Heredia,Servicio a Domicilio,8,"513.93",0,0,WhatsApp
2026-02-15,Costa Rica,Heredia,Respaldo de Energía,1,361.48,0,45,Domicilio
2026-02-15,Costa Rica,Heredia,Energía Solar,1,1547.72,0,15,Call center
2026-02-15,Costa Rica,Heredia,Batería Industrial,1,556.69,0,30,Sucursal
2026-02-15,El Salvador,San Salvador Norte,Batería Auto,36,3415.58,0,0,Call center
2026-02-15,El Salvador,San Salvador Norte,Batería Moto,30,1392.17,0,15,Domicilio
2026-02-15,El Salvador,San Salvador Norte,Servicio a Domicilio,10,669.56,0,45,WhatsApp
2026-02-15,El Salvador,San Salvador Norte,Respaldo de Energía,2,680.92,0,0,Call center
2026-02-15,El Salvador,San Salvador Norte,Batería Industrial,1,547.90,0,45,Call center
2026-02-15,El Salvador,Santa Ana,Batería Auto,39,3852.89,0,45,WhatsApp
2026-02-15,El Salvador,Santa Ana,Batería Moto,31,1532.62,0,0,Call center
2026-02-15,El Salvador,Santa Ana,Servicio a Domicilio,8,502.17,0,0,Sucursal
2026-02-15,El Salvador,Santa Ana,Respaldo de Energía,1,345.26,0,15,Sucursal
2026-02-15,El Salvador,Santa Ana,Energía Solar,1,1467.01,0,45,WhatsApp
2026-02-15,El Salvador,Soyapango,Batería Auto,36,3216.49,0,0,Domicilio
2026-02-15,El Salvador,Soyapango,Batería Moto,32,1583.45,0,0,Call center
2026-02-15,El Salvador,Soyapango,Servicio a Domicilio,7,434.52,0,30,WhatsApp
2026-02-15,El Salvador,Soyapango,Energía Solar,1,1369.32,0,45,Domicilio
2026-02-15,El Salvador,Soyapango,Batería Industrial,1,538.53,0,15,Sucursal
2026-02-15,Guatemala,Zona 4,Batería Moto,32,1448.10,1,0,WhatsApp
2026-02-15,Guatemala,Zona 4,Servicio a Domicilio,11,741.71,0,45,WhatsApp
2026-02-15,Guatemala,Zona 4,Respaldo de Energía,1,350.47,0,60,Call center
2026-02-15,Guatemala,Zona 4,Energía Solar,1,1433.64,0,30,Call center
2026-02-15,Guatemala,Zona 4,Batería Industrial,1,523.67,0,0,WhatsApp
2026-02-15,Guatemala,Mixco,Batería Auto,34,3222.45,1,0,Call center
2026-02-15,Guatemala,Mixco,Batería Moto,30,1413.24,,0,Call center
2026-02-15,Guatemala,Mixco,Servicio a Domicilio,8,542.94,0,30,Sucursal
2026-02-15,Guatemala,Mixco,Respaldo de Energía,2,650.87,0,45,WhatsApp
2026-02-15,Guatemala,Mixco,Energía Solar,1,1360.53,0,45,Domicilio
2026-02-15,Guatemala,Mixco,Batería Industrial,1,533.44,0,30,Domicilio
2026-02-15,Guatemala,Quetzaltenango,Batería Auto,39,3763.35,1,30,Domicilio
2026-02-15,Guatemala,Quetzaltenango,Batería Moto,23,1112.55,1,0,Call center
2026-02-15,Guatemala,Quetzaltenango,Respaldo de Energía,1,"330.58",0,60,WhatsApp
2026-02-15,Guatemala,Quetzaltenango,Energía Solar,1,1417.72,0,0,Call center
2026-02-15,Guatemala,Quetzaltenango,Batería Industrial,1,526.32,0,0,Call center
2026-03-15,Panamá,Vía España,Bateria Auto,28,2641.78,0,45,WhatsApp
2026-03-15,Panamá,Vía España,Batería Moto,26,1329.64,0,15,WhatsApp
2026-03-15,Panamá,Vía España,Servicio a Domicilio,9,623.19,0,30,WhatsApp
2026-03-15,Panamá,Vía España,Energía Solar,1,1502.83,0,60,Call center
2026-03-15,Panamá,Vía España,Batería Industrial,1,529.00,0,30,Call center
2026-03-15,Panamá,Tocumen,Batería Auto,34,"3,106.37",0,30,WhatsApp
2026-03-15,Panamá,Tocumen,Batería Moto,29,1438.56,0,30,Sucursal
2026-03-15,Panamá,Tocumen,Servicio a Domicilio,9,565.85,0,0,WhatsApp
2026-03-15,Panamá,Tocumen,Respaldo de Energía,1,358.77,0,0,WhatsApp
2026-03-15,Panamá,Tocumen,Energía Solar,1,1451.93,0,0,WhatsApp
2026-03-15,Panamá,Tocumen,Batería Industrial,1,521.73,,60,Call center
2026-03-15,Panamá,David,Batería Auto,28,2771.26,0,0,Domicilio
2026-03-15,Panamá,David,Servicio a Domicilio,8,493.81,0,60,Sucursal
2026-03-15,Panamá,David,Respaldo de Energía,1,342.24,0,0,Call center
2026-03-15,Panamá,David,Energía Solar,1,1486.88,0,30,Call center
2026-03-15,Panamá,David,Batería Industrial,1,545.50,0,30,Domicilio
2026-03-15,Costa Rica,San José Centro,Batería Auto,32,2961.57,0,30,WhatsApp
2026-03-15,Costa Rica,San José Centro,Batería Moto,25,1251.77,0,0,Domicilio
2026-03-15,Costa Rica,San José Centro,Servicio a Domicilio,7,430.82,0,0,Domicilio
2026-03-15,Costa Rica,San José Centro,Respaldo de Energía,1,342.97,0,0,Sucursal
2026-03-15,Costa Rica,San José Centro,Energía Solar,1,1528.96,0,45,Call center
2026-03-15,Costa Rica,San José Centro,Batería Industrial,1,492.16,0,30,Domicilio
2026-03-15,Costa Rica,Alajuela,Batería Auto,42,3825.01,0,0,Sucursal
2026-03-15,Costa Rica,Alajuela,Batería Moto,26,1172.48,0,45,Call center
2026-03-15,Costa Rica,Alajuela,Servicio a Domicilio,6,370.22,0,30,WhatsApp
2026-03-15,Costa Rica,Alajuela,Respaldo de Energía,2,649.34,0,0,Domicilio
2026-03-15,Costa Rica,Heredia,Bateria Auto,32,2922.15,0,45,Domicilio
2026-03-15,Costa Rica,Heredia,Batería Moto,28,1448.94,0,45,Sucursal
2026-03-15,Costa Rica,Heredia,Servicio a Domicilio,6,377.52,0,0,Domicilio
2026-03-15,Costa Rica,Heredia,Respaldo de Energía,1,325.49,0,0,Domicilio
15/03/2026,Costa Rica,Heredia,Batería Industrial,1,522.33,0,0,Domicilio
2026-03-15,El Salvador,San Salvador Norte,bateria auto,40,3803.97,0,0,Sucursal
2026-03-15,El Salvador,San Salvador Norte,Batería Moto,20,925.44,0,15,Domicilio
2026-03-15,El Salvador,San Salvador Norte,Servicio a Domicilio,8,531.79,0,30,WhatsApp
2026-03-15,El Salvador,San Salvador Norte,Respaldo de Energía,1,347.53,0,30,Call center
2026-03-15,El Salvador,San Salvador Norte,Energía Solar,1,1565.65,0,30,Call center
2026-03-15,El Salvador,San Salvador Norte,Batería Industrial,1,518.79,0,0,Call center
2026-03-15,El Salvador,Santa Ana,Batería Auto,38,3275.25,0,0,Call center
2026-03-15,El Salvador,Santa Ana,Batería Moto,22,1058.53,0,0,Call center
2026-03-15,El Salvador,Santa Ana,Servicio a Domicilio,6,411.63,0,0,WhatsApp
2026-03-15,El Salvador,Santa Ana,Respaldo de Energía,1,345.56,0,30,Call center
2026-03-15,El Salvador,Santa Ana,Batería Industrial,1,505.05,0,15,Domicilio
2026-03-15,El Salvador,Soyapango,Batería Moto,32,1484.44,0,60,Domicilio
2026-03-15,El Salvador,Soyapango,Respaldo de Energía,1,353.83,0,30,Sucursal
2026-03-15,El Salvador,Soyapango,Energía Solar,1,1398.98,0,60,Call center
2026-03-15,El Salvador,Soyapango,Batería Industrial,1,535.14,0,30,Domicilio
2026-03-15,Guatemala,Zona 4,Batería Auto,37,3390.46,2,0,Domicilio
2026-03-15,Guatemala,Zona 4,Batería Moto,30,1373.47,1,60,Sucursal
2026-03-15,Guatemala,Zona 4,Servicio a Domicilio,7,446.87,0,30,WhatsApp
2026-03-15,Guatemala,Zona 4,Energía Solar,1,1506.25,0,45,WhatsApp
2026-03-15,Guatemala,Zona 4,Batería Industrial,1,506.71,0,30,WhatsApp
2026-03-15,Guatemala,Mixco,Batería Moto,26,1177.12,0,0,WhatsApp
2026-03-15,Guatemala,Mixco,Servicio a Domicilio,6,373.33,0,0,Domicilio
2026-03-15,Guatemala,Quetzaltenango,Batería Auto,30,2712.37,2,0,WhatsApp
2026-03-15,Guatemala,Quetzaltenango,Batería Moto,19,859.15,1,30,WhatsApp
2026-03-15,Guatemala,Quetzaltenango,Servicio a Domicilio,9,550.24,,0,Sucursal
2026-03-15,Guatemala,Quetzaltenango,Energía Solar,1,1553.28,0,0,Call center
2026-03-15,Guatemala,Quetzaltenango,Batería Industrial,1,525.82,0,0,WhatsApp
2026-04-15,Panamá,Vía España,bateria auto,26,2363.59,0,30,WhatsApp
2026-04-15,Panamá,Vía España,Batería Moto,29,1416.47,0,0,Sucursal
2026-04-15,Panamá,Vía España,Servicio a Domicilio,7,472.94,0,60,Sucursal
2026-04-15,Panamá,Vía España,Energía Solar,1,1365.97,0,0,Call center
